'Ben Webster','Chelsea Bridge'
'Alex de Grassi','Charlotte'
'Thelonious Monk',"'""Well'"
'The Cars','Just What I Needed'
'Yo La Tengo',"'""Barnaby'"
'Gram Parsons','Return of the Grievous Angel'
'Loop','Arc-Lite'
'Pussy Galore','New Breed'
'Bo Diddley','I''''m a Man'
'Bessie Smith','Gimme a Pigfoot (And a Bottle of Beer)'
'The Archies',"'""Sugar'"
'Moe Bandy','Just Good Ol'''' Boys'
'Ben Folds','Rockin'''' the Suburbs'
'The Saints','(I''''m) Stranded'
'Bee Gees','Stayin'''' Alive'
'The Everly Brothers','Problems'
'Frank Sinatra','Violets for Your Furs'
'Chic','Good Times'
'Essential Logic','Aerosol Burns'
'Eagles','Peaceful Easy Feeling'
'Simon & Garfunkel','The Dangling Conversation'
'Kris Kristofferson','Loving Her Was Easier (Than Anything I''''ll Ever Do Again)'
'Bee Gees','Night Fever'
'Warrant','Cherry Pie'
'The Beatles','Baby''''s in Black'
'Dimitri from Paris','Sacre Francais'
'Harry Nilsson','Coconut'
'Slim Harpo','I''''m a King Bee'
'R.E.M.','Driver 8'
'Merle Haggard','Are the Good Times Really Over (I Wish a Buck Was Still Silver)'
'Blind Faith','Can''''t Find My Way Home'
'MC5','Kick Out the Jams'
'Mission of Burma','Academy Fight Song'
'Ian Dury','Wake Up and Make Love With Me'
'David Bowie','Golden Years'
'The B-52''''s','Love Shack'
'DJ Jazzy Jeff & the Fresh Prince','Girls Ain''''t Nothing But Trouble'
'Sade','By Your Side'
'The Rolling Stones','Get off of My Cloud'
'PJ Harvey','50ft Queenie'
'Bachman-Turner Overdrive','Takin'''' Care of Business'
'Patsy Cline','Crazy'
'Duke Ellington',"'""Take the ""A"" Train""'"
'Cat Power','Cross Bones Style'
'Jacques Brel','La Chanson de Jacky'
'Mary Lou Lord','Lights Are Changing'
'Albert Ayler','Bells'
'Ride','Leave Them All Behind'
'The Beatles','I Am the Walrus'
'The Go-Betweens','Spring Rain'
'Ray Conniff','''''S Wonderful'
'Shirley Bassey','Goldfinger'
'Rupert Holmes',Escape (The Pi?a Colada Song) ble'
'Richard Thompson','1952 Vincent Black Lightning'
'Dinosaur Jr.','Start Choppin'
'Jeri Southern','Smoke Gets in Your Eyes'
'George Jones','White Lightning'
'Metallica','Seek & Destroy'
'Bachman-Turner Overdrive','You Ain''''t Seen Nothing Yet'
'The Small Faces','Itchycoo Park'
'The Soft Boys','I Wanna Destroy You'
'Violent Femmes','Blister in the Sun'
'Patti Smith','Piss Factory'
'The Stylistics','You Make Me Feel Brand New'
'Kirsty MacColl','A New England'
'Neil Young','Old Man'
'Burt Bacharach','(There''''s) Always Something There to Remind Me'
'David Bowie',"'""John'"
'Hoagy Carmichael','Georgia on My Mind'
'Primal Scream','Kowalski'
'Bob Dylan','Masters of War'
'Jackie Brenston','Rocket 88'
'Peter Murphy','Cuts You Up'
'Danny Kaye','Bloop Bleep'
'The Dukes of Stratosphear','The Mole from the Ministry'
'Nick Lowe','Cruel to Be Kind'
'Donovan','Wear Your Love Like Heaven'
'The Zombies','Time of the Season'
'The Monks','I Hate You'
'Davy Graham','Angi'
'Slim & Slam','The Flat Foot Floogie'
'Belle & Sebastian','The Boy With the Arab Strap'
"'The Doors, Robby Krieger'",'Strange Days'
'Antonio Carlos Jobim','Agua de Beber'
'Nick Drake','Time Has Told Me'
'Buck Owens','I''''ve Got a Tiger by the Tail'
'Os Mutantes','Bat Macumba'
'David Bowie','Space Oddity'
'The Smiths',"'""William'"
'Bob Mould','Poison Years'
'Morrissey','Suedehead'
'The Beatles','Eleanor Rigby'
'Crowded House','Better Be Home Soon'
'White Zombie','Thunder Kiss ''''65'
'Charlie Daniels','The Devil Went Down to Georgia'
'Barenaked Ladies',"'""If I Had $1'"
'The Fall','Totally Wired'
'Kenny Rogers','Through the Years'
'Belle & Sebastian','Judy and the Dream of Horses'
'Madness','Our House'
'Richard Thompson','I Feel So Good'
'The Temptations','My Girl'
'MC5','Looking at You'
'Dean Martin','Everybody Loves Somebody'
'The Zombies','She''''s Not There'
'Sly & the Family Stone','I Want to Take You Higher'
'Simon & Garfunkel','I Am a Rock'
'Seals & Crofts','We May Never Pass This Way (Again)'
'The La''''s','There She Goes'
'Beck','Devils Haircut'
'John Coltrane','Giant Steps'
'The Replacements','Bastards of Young'
'The Shangri-Las','I Can Never Go Home Anymore'
'PJ Harvey','Sheela-Na-Gig'
'The Damned','Neat Neat Neat'
'Love','Alone Again Or'
'Queen','Killer Queen'
'Right Said Fred','I''''m Too Sexy'
'Eddie Cochran','Somethin'''' Else'
'Cibo Matto','Know Your Chicken'
'The Rascals','Love Is a Beautiful Thing'
'Lindsey Buckingham','Trouble'
'The Impressions','I''''m So Proud'
'OutKast','Ms. Jackson'
'Rufus Wainwright','Cigarettes and Chocolate Milk'
'Charles Mingus','Better Get Hit in Yo'''' Soul'
'Roger Miller','Chug-A-Lug'
'The Rolling Stones','It''''s Only Rock ''''N Roll (But I Like It)'
'Bill Withers','Lean on Me'
'Wire','I Am the Fly'
'Blossom Dearie','Give Him the Ooh-La-La'
'Peggy Lee','Black Coffee'
'XTC','Senses Working Overtime'
'Kris Kristofferson','Come Sundown'
'Grandaddy','The Crystal Lake'
'After the Fire','Der Kommissar'
'Bananarama','Robert de Niro''''s Waiting'
'Bob Dylan','Jokerman'
'Waylon Jennings','Amanda'
'Peter Gabriel','Games Without Frontiers'
'Lulu','To Sir with Love'
'1910 Fruitgum Company','Indian Giver'
'Ernie K-Doe','Mother-In-Law'
'Brooks & Dunn','Boot Scootin'''' Boogie'
'Frank Sinatra','I Only Have Eyes for You'
'Heavenly','C Is the Heavenly Option'
'Frank Sinatra','Over the Rainbow'
'The Velvet Underground','White Light/White Heat'
'Bee Gees','More Than a Woman'
'Bob Dylan','Blowin'''' in the Wind'
'Badfinger','Baby Blue'
'Simon & Garfunkel','The 59th Street Bridge Song (Feelin'''' Groovy)'
'ABC','How to Be a Millionaire'
'Kate Bush','This Woman''''s Work'
'Creed','My Own Prison'
'The Velvet Underground','I''''m Waiting for the Man'
'Cyndi Lauper','Girls Just Want to Have Fun'
'Sam & Dave','Soul Man'
'Descendents','I Don''''t Want to Grow Up'
'Harry Nilsson','Ten Little Indians'
'The Chi-Lites','Oh Girl'
'Little Richard','The Girl Can''''t Help It'
'Meat Loaf','Paradise by the Dashboard Light'
'Britney Spears','Oops! ... I Did It Again'
'Conway Twitty','I''''d Love to Lay You Down'
'The Misfits','Attitude'
'Mose Allison','Ever Since the World Ended'
'The Waterboys','The Whole of the Moon'
'Nick Lowe','Marie Provost'
'10',"'000 Maniacs""'"
'The Barbarians','Are You a Boy or Are You a Girl'
'Rodney Crowell','I Couldn''''t Leave You If I Tried'
'The Cramps','Human Fly'
'Ted Nugent','Motor City Madhouse'
'Oasis','Champagne Supernova'
'The Who','Summertime Blues'
'Ringo Starr','It Don''''t Come Easy'
'Dion','Ruby Baby'
'Fela Kuti','Zombie'
'Phil Collins','I Wish It Would Rain Down'
'Girls Against Boys','Kill the Sexplayer'
'Gipsy Kings','Un Amor'
'Louis Jordan','Let the Good Times Roll'
'Dionne Warwick','I Just Don''''t Know What to Do With Myself'
'Squeeze','Is That Love'
'Burl Ives','Lavender Blue (Dilly Dilly)'
'Johnny Cash','Daddy Sang Bass'
'The Turtles','I''''m Chief Kamanawanalea (We''''re the Royal Macadamia Nuts)'
'John Coltrane','My Favorite Things'
'The Kinks','Juke Box Music'
'The Hollies','Bus Stop'
'Billy Bragg','The Milkman of Human Kindness'
'Cheap Trick','California Man'
'Tom Waits','Downtown Train'
'The Kinks','Sunny Afternoon'
'John Lee Hooker','Hobo Blues'
'Free','All Right Now'
'Shania Twain','Man! I Feel Like a Woman!'
'Faces','Sweet Lady Mary'
'Terry Callier','Satin Doll'
'Bread','Baby I''''m-A Want You'
'Paula Abdul','Forever Your Girl'
'The Rolling Stones','Paint It Black'
'Hound Dog Taylor','Give Me Back My Wig'
'Roy Orbison','It''''s Over'
'The Stone Roses','I Wanna Be Adored'
'Sweet','Ballroom Blitz'
'Pantera','Cowboys From Hell'
'Phil Collins','Against All Odds (Take a Look at Me Now)'
'Crowded House','Don''''t Dream It''''s Over'
'The Doors','People Are Strange'
'Biz Markie','Vapors'
'Mott the Hoople','I Wish I Was Your Mother'
'Jimmy Eat World','Bleed American'
'Manfred Mann','Do Wah Diddy Diddy'
'Bob Dylan','Knockin'''' on Heaven''''s Door'
'Pharoah Sanders','Creator Has a Master Plan'
'Ace of Base','Don''''t Turn Around'
'Roberta Flack','Killing Me Softly With His Song'
'Elvis Costello','God Give Me Strength'
'Jimmy Smith','Back at the Chicken Shack'
'The Beatles','Strawberry Fields Forever'
'Dr. Hook','Cover of the Rolling Stone'
'Digital Underground','The Humpty Dance'
'Metallica','Fade to Black'
'Barenaked Ladies','Be My Yoko Ono'
'Marshall Crenshaw','Cynical Girl'
'The Byrds','Turn! Turn! Turn! (To Everything There Is a Season)'
'B.B. King','Every Day I Have the Blues'
'Rufus Wainwright','Beauty Mark'
'Van Halen','Ain''''t Talkin'''' ''''Bout Love'
'Buddy Guy',"'""Damn Right'"
'Tricky','Overcome'
'Warren Zevon','Werewolves of London'
'James Brown','Cold Sweat'
'Jane Wiedlin','Blue Kiss'
'Mott the Hoople',"'""Ballad of Mott the Hoople (26th March 1972'"
'Bob Dylan','From a Buick 6'
'Spice Girls','Wannabe'
'Heidi Berry','Up in the Air'
'Neneh Cherry','Buffalo Stance'
'Leonard Cohen','Bird on a Wire'
'Peggy Lee','I Don''''t Know Enough About You'
'Hanson','MMMBop'
'Frank Sinatra','Embraceable You'
'Anthrax','Got the Time'
'Bobby McFerrin',"'""Don''''t Worry'"
'Faith No More','Epic'
'Black Grape','Reverend Black Grape'
'Eddie Cochran','C''''mon Everybody'
'Wanda Jackson','Hot Dog! That Made Him Mad'
'The Zeros','Don''''t Push Me Around'
'R.E.M.',"'What''''s the Frequency, Kenneth_'"
'Luther Vandross','Here and Now'
'The Rutles','Cheese and Onions'
'David Bowie','Changes'
'They Might Be Giants','Ana Ng'
'Joe South','Hush'
'John Coltrane','Naima'
'Patsy Cline','Walkin'''' After Midnight'
'Bob Dylan','Girl from the North Country'
"'Gladys Knight &amp; the Pips, Gladys Knight'",'Every Beat of My Heart'
'Spiritualized','Lay Back in the Sun'
'Violent Femmes','Gone Daddy Gone'
'Tricky','Black Steel'
'Public Enemy','Black Steel in the Hour of Chaos'
"'Bruce Springsteen; the E Street Band, Bruce Springsteen'",'American Skin (41 Shots)'
'Joy Division','Isolation'
'Mose Allison','Your Mind Is on Vacation'
'Rick Astley','Never Gonna Give You Up'
'Babes in Toyland','Bruise Violet'
'Fats Waller','Your Feet''''s Too Big'
'The Everly Brothers','Let It Be Me'
'Willie Nelson','On the Sunny Side of the Street'
'Stereolab','Cybele''''s Reverie'
'Cameo','Word Up!'
'Cab Calloway','Minnie the Moocher'
'Gloria Estefan','Anything for You'
'The Flying Burrito Brothers','Break My Mind'
"'Mick Jagger, The Rolling Stones'",'Emotional Rescue'
'The Beach Boys','''''Til I Die'
'Them','Gloria'
'Rage Against the Machine','Killing in the Name'
'DJ Jazzy Jeff & the Fresh Prince','Parents Just Don''''t Understand'
'Pixies','Velouria'
'Red Hot Chili Peppers','Higher Ground'
'Miles Davis','Boplicity'
'Marvin Gaye','What''''s Going On'
'The Verve','The Drugs Don''''t Work'
'Louis Jordan','Ain''''t Nobody Here But Us Chickens'
'Spanky & Our Gang','Sunday Mornin'''''
'Van Halen','Panama'
'Kenny Rogers','Islands in the Stream'
'Billy Paul','Me and Mrs. Jones'
'The Romantics','What I Like About You'
'Del Shannon','Runaway'
'Caravan','In the Land of Grey and Pink'
'RuPaul','Supermodel (You Better Work)'
'Tim Buckley','Song to the Siren'
'Adrian Belew','Men in Helicopters'
'The Beautiful South','Hit Parade'
'Don Williams','Tulsa Time'
'Bee Gees','How Can You Mend a Broken Heart_'
'Violent Femmes','Add It Up'
'The Dixie Cups','Chapel of Love'
'The Who','My Generation'
'Hasil Adkins','She Said'
'The Ramones','Judy Is a Punk'
'Petula Clark','Downtown'
'Rob Base','It Takes Two'
